日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
2023-06-01,多云/晴,17℃/24℃,南风3-4级/北风3-4级
2023-06-02,多云/晴,17℃/25℃,北风3-4级/北风3-4级
2023-06-03,晴/多云,19℃/25℃,北风3-4级/西南风3-4级
2023-06-04,多云/多云,18℃/28℃,西南风3-4级/西南风3-4级
2023-06-05,晴/晴,18℃/22℃,南风3-4级/南风3-4级
2023-06-06,晴/晴,19℃/25℃,西南风3-4级/西南风3-4级
2023-06-07,多云/多云,21℃/26℃,南风3-4级/南风3-4级
2023-06-08,多云/多云,19℃/31℃,北风3-4级/南风3-4级
2023-06-09,多云/多云,20℃/24℃,南风3-4级/南风3-4级
2023-06-10,小雨/晴,18℃/23℃,东南风3-4级/北风3-4级
2023-06-11,晴/多云,19℃/24℃,北风3-4级/南风3-4级
2023-06-12,多云/多云,18℃/24℃,南风3-4级/北风3-4级
2023-06-13,多云/多云,18℃/25℃,北风3-4级/北风3-4级
2023-06-14,多云/晴,19℃/25℃,东南风3-4级/东南风3-4级
2023-06-15,晴/晴,20℃/22℃,东南风3-4级/东南风3-4级
2023-06-16,晴/晴,20℃/24℃,东南风3-4级/东南风3-4级
2023-06-17,晴/晴,20℃/24℃,东南风3-4级/东南风3-4级
2023-06-18,多云/多云,20℃/25℃,东风3-4级/东南风3-4级
2023-06-19,小雨/小雨,20℃/24℃,东南风3-4级/东北风3-4级
2023-06-20,阴/多云,20℃/28℃,北风3-4级/北风3-4级
2023-06-21,晴/晴,20℃/27℃,北风3-4级/南风3-4级
2023-06-22,晴/晴,22℃/33℃,北风3-4级/南风3-4级
2023-06-23,晴/晴,22℃/30℃,南风3-4级/东南风3-4级
2023-06-24,晴/多云,22℃/27℃,东南风3-4级/东风3-4级
2023-06-25,小雨/小雨,22℃/26℃,东北风3-4级/西北风3-4级
2023-06-26,小雨/多云,22℃/27℃,西北风3-4级/南风3-4级
2023-06-27,多云/多云,23℃/27℃,南风3-4级/南风3-4级
2023-06-28,小雨/大雨,23℃/27℃,南风3-4级/南风3-4级
2023-06-29,阴/多云,21℃/28℃,北风3-4级/南风3-4级
2023-06-30,晴/晴,21℃/30℃,北风3-4级/南风3-4级
